subset,instrument,instrument_id,fold,track_id,uuid4,random
test,piano,2,4,0,piano_671,0.082382212
test,piano,2,4,0,piano_365,0.73592717
test,piano,2,4,0,piano_120,0.40124398
test,guitar,0,1,0,guitar_712,0.56136332
test,violin,3,7,0,violin_481,0.941599011
test,flute,1,3,0,flute_262,0.422748751
test,guitar,0,1,0,guitar_297,0.456201546
test,piano,2,4,0,piano_405,0.12321591
test,guitar,0,1,0,guitar_590,0.517465685
test,flute,1,3,0,flute_6,0.812992459
test,piano,2,4,0,piano_719,0.889186276
test,violin,3,7,0,violin_357,0.312412906
test,guitar,0,1,0,guitar_319,0.886661367
test,guitar,0,1,0,guitar_284,0.540512649
test,guitar,0,1,0,guitar_210,0.228643518
test,flute,1,3,0,flute_258,0.634949435
test,flute,1,3,0,flute_374,0.494077679
test,guitar,0,1,0,guitar_548,0.797879901
test,piano,2,4,0,piano_49,0.506299068
test,piano,2,4,0,piano_549,0.773737793
test,flute,1,3,0,flute_25,0.5634216
test,guitar,0,1,0,guitar_739,0.208990954
test,piano,2,4,0,piano_338,0.64239636
test,piano,2,4,0,piano_554,0.890553965
test,guitar,0,1,0,guitar_329,0.893194543
test,guitar,0,1,0,guitar_298,0.446280959
test,flute,1,3,0,flute_77,0.038724775
test,violin,3,7,0,violin_389,0.605437007
test,violin,3,7,0,violin_547,0.632290333
test,guitar,0,1,0,guitar_738,0.961904349
test,flute,1,3,0,flute_250,0.500811166
test,flute,1,3,0,flute_28,0.125537241
test,guitar,0,1,0,guitar_376,0.715949306
test,violin,3,7,0,violin_286,0.643268984
test,flute,1,3,0,flute_267,0.818358558
test,piano,2,4,0,piano_185,0.730076719
test,violin,3,7,0,violin_104,0.28946417
test,piano,2,4,0,piano_148,0.83122899
test,violin,3,7,0,violin_131,0.074197728
test,piano,2,4,0,piano_687,0.331836359
test,piano,2,4,0,piano_350,0.741755075
test,guitar,0,1,0,guitar_724,0.590144039
test,violin,3,7,0,violin_339,0.965128178
test,piano,2,4,0,piano_225,0.655997946
test,violin,3,7,0,violin_533,0.187875258
test,guitar,0,1,0,guitar_625,0.643764545
test,violin,3,7,0,violin_346,0.745486685
test,piano,2,4,0,piano_146,0.587127863
test,guitar,0,1,0,guitar_483,0.594272215
test,flute,1,3,0,flute_391,0.925393669
test,guitar,0,1,0,guitar_451,0.916031758
test,piano,2,4,0,piano_629,0.682000057
test,flute,1,3,0,flute_177,0.373306533
test,violin,3,7,0,violin_117,0.895426824
test,guitar,0,1,0,guitar_343,0.000917268
test,guitar,0,1,0,guitar_280,0.561854742
test,guitar,0,1,0,guitar_605,0.905353638
test,guitar,0,1,0,guitar_512,0.483279675
test,violin,3,7,0,violin_532,0.553605221
test,piano,2,4,0,piano_414,0.768964663
test,guitar,0,1,0,guitar_289,0.979409546
test,flute,1,3,0,flute_260,0.056953708
test,piano,2,4,0,piano_217,0.666482313
test,piano,2,4,0,piano_678,0.987874876
test,guitar,0,1,0,guitar_545,0.977199933
test,violin,3,7,0,violin_194,0.867725674
test,guitar,0,1,0,guitar_691,0.943793269
test,flute,1,3,0,flute_115,0.113089627
test,violin,3,7,0,violin_342,0.862934044
test,piano,2,4,0,piano_665,0.130455674
test,piano,2,4,0,piano_228,0.074909953
test,violin,3,7,0,violin_35,0.272072192
test,flute,1,3,0,flute_93,0.911635625
test,violin,3,7,0,violin_414,0.469335338
test,guitar,0,1,0,guitar_266,0.159554067
test,piano,2,4,0,piano_672,0.584108008
test,violin,3,7,0,violin_60,0.44478867
test,violin,3,7,0,violin_7,0.373760401
test,piano,2,4,0,piano_677,0.683579666
test,flute,1,3,0,flute_373,0.279360661
test,violin,3,7,0,violin_265,0.11113766
test,piano,2,4,0,piano_257,0.253108404
test,guitar,0,1,0,guitar_460,0.288093159
test,violin,3,7,0,violin_293,0.917409555
test,violin,3,7,0,violin_433,0.064655727
test,violin,3,7,0,violin_440,0.582800733
test,piano,2,4,0,piano_589,0.08355587
test,piano,2,4,0,piano_150,0.628095661
test,guitar,0,1,0,guitar_678,0.134842636
test,violin,3,7,0,violin_494,0.962385126
test,piano,2,4,0,piano_374,0.159597396
test,guitar,0,1,0,guitar_523,0.677655825
test,flute,1,3,0,flute_132,0.83738571
test,flute,1,3,0,flute_57,0.043255784
test,piano,2,4,0,piano_532,0.365907485
test,guitar,0,1,0,guitar_718,0.34004577
test,piano,2,4,0,piano_632,0.974938818
test,flute,1,3,0,flute_188,0.750731629
test,violin,3,7,0,violin_178,0.214565791
test,violin,3,7,0,violin_476,0.067209165
test,piano,2,4,0,piano_195,0.529985354
test,piano,2,4,0,piano_93,0.464751726
test,guitar,0,1,0,guitar_518,0.051328585
test,flute,1,3,0,flute_277,0.434270861
test,guitar,0,1,0,guitar_64,0.823911293
test,piano,2,4,0,piano_122,0.873125405
test,guitar,0,1,0,guitar_63,0.561375187
test,guitar,0,1,0,guitar_657,0.004331573
test,guitar,0,1,0,guitar_197,0.450273751
test,flute,1,3,0,flute_320,0.406260229
test,guitar,0,1,0,guitar_228,0.565060306
test,piano,2,4,0,piano_193,0.608788263
test,violin,3,7,0,violin_58,0.013759295
test,violin,3,7,0,violin_27,0.317850362
test,guitar,0,1,0,guitar_299,0.013248538
test,guitar,0,1,0,guitar_41,0.682566251
test,guitar,0,1,0,guitar_450,0.059651932
test,violin,3,7,0,violin_559,0.593242861
test,guitar,0,1,0,guitar_263,0.928611885
test,violin,3,7,0,violin_398,0.992630362
test,flute,1,3,0,flute_406,0.861955827
test,flute,1,3,0,flute_237,0.919436089
test,violin,3,7,0,violin_101,0.339233221
test,guitar,0,1,0,guitar_87,0.393523566
test,piano,2,4,0,piano_299,0.492935177
test,guitar,0,1,0,guitar_260,0.665223
test,piano,2,4,0,piano_14,0.65584866
test,piano,2,4,0,piano_436,0.974817933
test,guitar,0,1,0,guitar_550,0.858136083
test,guitar,0,1,0,guitar_594,0.414632247
test,violin,3,7,0,violin_438,0.598886251
test,guitar,0,1,0,guitar_411,0.6909158
test,piano,2,4,0,piano_266,0.765181168
test,violin,3,7,0,violin_269,0.392861344
test,violin,3,7,0,violin_316,0.251327971
test,guitar,0,1,0,guitar_274,0.028828424
test,guitar,0,1,0,guitar_224,0.659764503
test,piano,2,4,0,piano_96,0.314746279
test,violin,3,7,0,violin_449,0.874157561
test,flute,1,3,0,flute_206,0.492579805
test,guitar,0,1,0,guitar_95,0.428899737
test,flute,1,3,0,flute_198,0.374588606
test,piano,2,4,0,piano_288,0.400675258
test,piano,2,4,0,piano_8,0.430226496
test,flute,1,3,0,flute_111,0.405984514
test,piano,2,4,0,piano_21,0.807144927
test,piano,2,4,0,piano_323,0.716238542
test,piano,2,4,0,piano_239,0.870658119
test,violin,3,7,0,violin_488,0.148277668
test,flute,1,3,0,flute_359,0.06366882
test,piano,2,4,0,piano_162,0.316684759
test,guitar,0,1,0,guitar_253,0.470210198
test,violin,3,7,0,violin_281,0.922951891
test,piano,2,4,0,piano_47,0.761468182
test,guitar,0,1,0,guitar_220,0.828782551
test,violin,3,7,0,violin_134,0.092084502
test,piano,2,4,0,piano_204,0.778094111
test,guitar,0,1,0,guitar_638,0.752433899
test,guitar,0,1,0,guitar_532,0.595987906
test,flute,1,3,0,flute_313,0.333313655
test,guitar,0,1,0,guitar_135,0.773168263
test,violin,3,7,0,violin_337,0.770126076
test,guitar,0,1,0,guitar_7,0.988645583
test,piano,2,4,0,piano_109,0.209988511
test,guitar,0,1,0,guitar_330,0.424017513
test,violin,3,7,0,violin_47,0.189461657
test,guitar,0,1,0,guitar_735,0.921209053
test,guitar,0,1,0,guitar_183,0.155545939
test,violin,3,7,0,violin_400,0.95236428
test,flute,1,3,0,flute_285,0.518990984
test,violin,3,7,0,violin_469,0.769631434
test,violin,3,7,0,violin_557,0.991194983
test,flute,1,3,0,flute_402,0.836471487
test,guitar,0,1,0,guitar_37,0.836056301
test,piano,2,4,0,piano_394,0.19568164
test,guitar,0,1,0,guitar_26,0.64099725
test,guitar,0,1,0,guitar_119,0.417076542
test,violin,3,7,0,violin_456,0.784167397
test,violin,3,7,0,violin_24,0.757192219
test,guitar,0,1,0,guitar_404,0.963662341
test,piano,2,4,0,piano_130,0.308991479
test,violin,3,7,0,violin_419,0.230186583
test,piano,2,4,0,piano_219,0.049821293
test,piano,2,4,0,piano_113,0.588872294
test,violin,3,7,0,violin_243,0.352623073
test,guitar,0,1,0,guitar_120,0.658388002
test,piano,2,4,0,piano_527,0.137874167
test,violin,3,7,0,violin_170,0.983199741
test,piano,2,4,0,piano_249,0.948138139
test,flute,1,3,0,flute_245,0.700378747
test,flute,1,3,0,flute_276,0.368599116
test,guitar,0,1,0,guitar_491,0.234390704
test,guitar,0,1,0,guitar_326,0.300952253
test,guitar,0,1,0,guitar_516,0.208980054
test,piano,2,4,0,piano_29,0.754910681
test,guitar,0,1,0,guitar_437,0.307815607
test,guitar,0,1,0,guitar_564,0.006557962
test,piano,2,4,0,piano_331,0.50621047
test,violin,3,7,0,violin_464,0.978520351
test,guitar,0,1,0,guitar_277,0.530609541
test,flute,1,3,0,flute_196,0.479112636
test,guitar,0,1,0,guitar_572,0.69002542
test,piano,2,4,0,piano_88,0.006658333
test,flute,1,3,0,flute_443,0.095166824
test,guitar,0,1,0,guitar_629,0.008481099
test,piano,2,4,0,piano_108,0.37961958
test,guitar,0,1,0,guitar_137,0.847713796
test,guitar,0,1,0,guitar_400,0.361445996
test,piano,2,4,0,piano_75,0.34067251
test,flute,1,3,0,flute_334,0.665378444
test,violin,3,7,0,violin_525,0.490467518
test,violin,3,7,0,violin_160,0.62489758
test,violin,3,7,0,violin_62,0.17448236
test,violin,3,7,0,violin_359,0.368538242
test,violin,3,7,0,violin_447,0.887214433
test,violin,3,7,0,violin_251,0.152346801
test,flute,1,3,0,flute_155,0.634634029
test,guitar,0,1,0,guitar_104,0.994551908
test,guitar,0,1,0,guitar_573,0.041740634
test,piano,2,4,0,piano_134,0.61973356
test,violin,3,7,0,violin_309,0.336524734
test,violin,3,7,0,violin_528,0.077066227
test,guitar,0,1,0,guitar_121,0.795024987
test,piano,2,4,0,piano_409,0.031940118
test,violin,3,7,0,violin_224,0.906135473
test,flute,1,3,0,flute_96,0.342225569
test,guitar,0,1,0,guitar_273,0.39156357
test,piano,2,4,0,piano_34,0.771348368
test,guitar,0,1,0,guitar_571,0.59149192
test,violin,3,7,0,violin_539,0.945912395
test,guitar,0,1,0,guitar_4,0.395654562
test,piano,2,4,0,piano_524,0.582903246
test,piano,2,4,0,piano_318,0.817347367
test,piano,2,4,0,piano_504,0.111190338
test,flute,1,3,0,flute_340,0.662545756
test,flute,1,3,0,flute_332,0.150299541
test,violin,3,7,0,violin_548,0.647769105
test,guitar,0,1,0,guitar_519,0.132434481
test,piano,2,4,0,piano_203,0.891937929
test,piano,2,4,0,piano_442,0.755475355
test,guitar,0,1,0,guitar_115,0.807307574
test,guitar,0,1,0,guitar_21,0.6959393
test,piano,2,4,0,piano_668,0.120100385
test,piano,2,4,0,piano_201,0.7771979
test,violin,3,7,0,violin_358,0.026378147
test,flute,1,3,0,flute_322,0.88615165
test,piano,2,4,0,piano_196,0.217989042
test,flute,1,3,0,flute_306,0.275675248
test,flute,1,3,0,flute_232,0.750208118
test,flute,1,3,0,flute_255,0.095287338
test,flute,1,3,0,flute_230,0.563737703
test,piano,2,4,0,piano_617,0.225702129
test,flute,1,3,0,flute_64,0.483355145
test,flute,1,3,0,flute_399,0.349855975
test,piano,2,4,0,piano_320,0.393242878
test,guitar,0,1,0,guitar_179,0.015840709
test,piano,2,4,0,piano_197,0.932438819
test,flute,1,3,0,flute_282,0.148410523
test,violin,3,7,0,violin_252,0.618074553
test,flute,1,3,0,flute_310,0.208224508
test,violin,3,7,0,violin_141,0.264514261
test,violin,3,7,0,violin_100,0.175313282
test,flute,1,3,0,flute_327,0.672939911
test,violin,3,7,0,violin_382,0.064704419
test,violin,3,7,0,violin_502,0.146438248
test,piano,2,4,0,piano_595,0.328635755
test,guitar,0,1,0,guitar_637,0.184413522
test,violin,3,7,0,violin_217,0.726450538
test,guitar,0,1,0,guitar_291,0.24238449
test,piano,2,4,0,piano_300,0.211022542
test,flute,1,3,0,flute_60,0.656984942
test,guitar,0,1,0,guitar_751,0.755779066
test,guitar,0,1,0,guitar_146,0.495941716
test,flute,1,3,0,flute_379,0.066094084
test,violin,3,7,0,violin_212,0.365890433
test,flute,1,3,0,flute_46,0.328847134
test,violin,3,7,0,violin_461,0.770919202
test,guitar,0,1,0,guitar_675,0.737250772
test,piano,2,4,0,piano_48,0.0857937
test,violin,3,7,0,violin_478,0.603091995
test,guitar,0,1,0,guitar_723,0.427822596
test,piano,2,4,0,piano_357,0.528016079
test,guitar,0,1,0,guitar_569,0.920865633
test,piano,2,4,0,piano_87,0.089473888
test,guitar,0,1,0,guitar_498,0.379221047
test,guitar,0,1,0,guitar_734,0.177795512
test,piano,2,4,0,piano_631,0.930702095
test,guitar,0,1,0,guitar_131,0.361054362
test,piano,2,4,0,piano_243,0.338942779
test,violin,3,7,0,violin_373,0.623725244
test,guitar,0,1,0,guitar_123,0.799044555
test,piano,2,4,0,piano_581,0.081133018
test,piano,2,4,0,piano_463,0.939236988
test,guitar,0,1,0,guitar_455,0.895397641
test,guitar,0,1,0,guitar_566,0.960429175
test,flute,1,3,0,flute_324,0.690220784
test,violin,3,7,0,violin_558,0.960851736
test,guitar,0,1,0,guitar_357,0.317435474
test,flute,1,3,0,flute_106,0.679065686
test,piano,2,4,0,piano_182,0.037678867
test,guitar,0,1,0,guitar_694,0.712675442
test,violin,3,7,0,violin_6,0.312469113
test,piano,2,4,0,piano_59,0.669568274
test,flute,1,3,0,flute_0,0.554976358
test,guitar,0,1,0,guitar_433,0.549996474
test,guitar,0,1,0,guitar_557,0.522941836
test,piano,2,4,0,piano_421,0.073765216
test,guitar,0,1,0,guitar_316,0.38364648
test,flute,1,3,0,flute_304,0.27658868
test,flute,1,3,0,flute_122,0.732525883
test,piano,2,4,0,piano_131,0.687615801
test,piano,2,4,0,piano_211,0.317595468
test,violin,3,7,0,violin_198,0.206774239
test,violin,3,7,0,violin_248,0.665931138
test,guitar,0,1,0,guitar_595,0.448417291
test,guitar,0,1,0,guitar_624,0.530015109
test,violin,3,7,0,violin_266,0.816611706
test,guitar,0,1,0,guitar_261,0.235956547
test,violin,3,7,0,violin_153,0.377271432
test,piano,2,4,0,piano_347,0.372701565
test,violin,3,7,0,violin_147,0.023190539
test,violin,3,7,0,violin_349,0.952470311
test,flute,1,3,0,flute_425,0.831177738
test,guitar,0,1,0,guitar_23,0.27512052
test,flute,1,3,0,flute_261,0.975445115
test,piano,2,4,0,piano_638,0.589543171
test,guitar,0,1,0,guitar_36,0.072878437
test,violin,3,7,0,violin_135,0.901089919
test,flute,1,3,0,flute_212,0.286979586
test,guitar,0,1,0,guitar_641,0.5128252
test,piano,2,4,0,piano_413,0.790302835
test,guitar,0,1,0,guitar_442,0.39042827
test,guitar,0,1,0,guitar_397,0.798314162
test,guitar,0,1,0,guitar_470,0.965575098
test,flute,1,3,0,flute_296,0.173252492
test,guitar,0,1,0,guitar_79,0.277376808
test,violin,3,7,0,violin_396,0.950335401
test,flute,1,3,0,flute_205,0.311952609
test,piano,2,4,0,piano_478,0.833269004
test,guitar,0,1,0,guitar_122,0.42176783
test,piano,2,4,0,piano_172,0.500662737
test,flute,1,3,0,flute_98,0.260358692
test,guitar,0,1,0,guitar_663,0.090953167
test,violin,3,7,0,violin_568,0.582923294
test,guitar,0,1,0,guitar_59,0.569647108
test,flute,1,3,0,flute_338,0.106256216
test,piano,2,4,0,piano_688,0.008395929
test,flute,1,3,0,flute_5,0.26927561
test,guitar,0,1,0,guitar_556,0.685196219
test,violin,3,7,0,violin_156,0.219145221
test,piano,2,4,0,piano_415,0.197472654
test,guitar,0,1,0,guitar_479,0.45808163
test,guitar,0,1,0,guitar_269,0.90838196
test,piano,2,4,0,piano_526,0.69978194
test,violin,3,7,0,violin_33,0.938016428
test,violin,3,7,0,violin_66,0.187944918
test,violin,3,7,0,violin_8,0.130953203
test,violin,3,7,0,violin_379,0.84921238
test,flute,1,3,0,flute_84,0.915505966
test,piano,2,4,0,piano_112,0.129040619
test,guitar,0,1,0,guitar_226,0.008671687
test,piano,2,4,0,piano_125,0.229275435
test,flute,1,3,0,flute_376,0.669917115
test,piano,2,4,0,piano_619,0.843882158
test,piano,2,4,0,piano_644,0.630505267
test,piano,2,4,0,piano_704,0.645217581
test,piano,2,4,0,piano_606,0.269613255
test,piano,2,4,0,piano_166,0.676430591
test,violin,3,7,0,violin_496,0.293956974
test,piano,2,4,0,piano_50,0.909292121
test,guitar,0,1,0,guitar_480,0.811846122
test,flute,1,3,0,flute_216,0.75493141
test,guitar,0,1,0,guitar_0,0.311178473
test,piano,2,4,0,piano_3,0.019981379
test,flute,1,3,0,flute_263,0.183453819
test,violin,3,7,0,violin_200,0.721986351
test,flute,1,3,0,flute_129,0.519143367
test,guitar,0,1,0,guitar_689,0.827611392
test,piano,2,4,0,piano_13,0.313342945
test,guitar,0,1,0,guitar_254,0.736008598
test,piano,2,4,0,piano_496,0.281587844
test,piano,2,4,0,piano_126,0.866923344
test,piano,2,4,0,piano_700,0.863775898
test,violin,3,7,0,violin_402,0.617338436
test,flute,1,3,0,flute_164,0.103371665
test,piano,2,4,0,piano_624,0.232565233
test,flute,1,3,0,flute_252,0.558658326
test,violin,3,7,0,violin_201,0.611143724
test,guitar,0,1,0,guitar_193,0.814244076
test,violin,3,7,0,violin_95,0.602157545
test,piano,2,4,0,piano_308,0.561684565
test,guitar,0,1,0,guitar_623,0.529913828
test,piano,2,4,0,piano_284,0.078776398
test,piano,2,4,0,piano_237,0.484109183
test,flute,1,3,0,flute_333,0.381429219
test,violin,3,7,0,violin_466,0.438869153
test,flute,1,3,0,flute_366,0.457833355
test,guitar,0,1,0,guitar_707,0.611878345
test,guitar,0,1,0,guitar_283,0.534313145
test,piano,2,4,0,piano_591,0.217890784
test,piano,2,4,0,piano_593,0.602110643
test,flute,1,3,0,flute_187,0.528822807
test,piano,2,4,0,piano_230,0.338390744
test,flute,1,3,0,flute_303,0.097912578
test,piano,2,4,0,piano_352,0.457190839
test,violin,3,7,0,violin_521,0.315436265
test,flute,1,3,0,flute_190,0.864914105
test,guitar,0,1,0,guitar_565,0.094010441
test,guitar,0,1,0,guitar_78,0.203857084
test,flute,1,3,0,flute_301,0.591362014
test,violin,3,7,0,violin_61,0.773022698
test,flute,1,3,0,flute_284,0.444656726
test,guitar,0,1,0,guitar_89,0.051569689
test,violin,3,7,0,violin_261,0.924109547
test,guitar,0,1,0,guitar_443,0.937609744
test,violin,3,7,0,violin_21,0.813385665
test,violin,3,7,0,violin_365,0.161905385
test,flute,1,3,0,flute_52,0.680874132
test,guitar,0,1,0,guitar_256,0.293504177
test,violin,3,7,0,violin_413,0.863891098
test,guitar,0,1,0,guitar_660,0.588649125
test,piano,2,4,0,piano_272,0.108482177
test,guitar,0,1,0,guitar_726,0.010986445
test,violin,3,7,0,violin_493,0.528831599
test,violin,3,7,0,violin_543,0.847303816
test,violin,3,7,0,violin_340,0.800217899
test,piano,2,4,0,piano_641,0.46862803
test,guitar,0,1,0,guitar_17,0.899493092
test,piano,2,4,0,piano_210,0.301211238
test,guitar,0,1,0,guitar_524,0.616951577
test,violin,3,7,0,violin_123,0.247723883
test,piano,2,4,0,piano_548,0.779797134
test,flute,1,3,0,flute_56,0.984467582
test,guitar,0,1,0,guitar_290,0.615122094
test,piano,2,4,0,piano_362,0.119686913
test,piano,2,4,0,piano_720,0.069342689
test,flute,1,3,0,flute_170,0.904278311
test,flute,1,3,0,flute_90,0.755379074
test,violin,3,7,0,violin_399,0.530993936
test,piano,2,4,0,piano_434,0.837545637
test,piano,2,4,0,piano_30,0.643722615
test,guitar,0,1,0,guitar_8,0.930837015
test,guitar,0,1,0,guitar_252,0.943737612
test,guitar,0,1,0,guitar_535,0.210022646
test,guitar,0,1,0,guitar_436,0.359986069
test,piano,2,4,0,piano_542,0.835000031
test,guitar,0,1,0,guitar_713,0.576947298
test,guitar,0,1,0,guitar_92,0.896425541
test,guitar,0,1,0,guitar_315,0.117469618
test,piano,2,4,0,piano_215,0.719244131
test,piano,2,4,0,piano_368,0.452224472
test,guitar,0,1,0,guitar_169,0.503475558
test,piano,2,4,0,piano_594,0.626966573
test,guitar,0,1,0,guitar_161,0.554568485
test,piano,2,4,0,piano_268,0.398221924
test,violin,3,7,0,violin_577,0.193072559
test,violin,3,7,0,violin_103,0.38032887
test,guitar,0,1,0,guitar_111,0.371100013
test,violin,3,7,0,violin_20,0.84422889
test,piano,2,4,0,piano_419,0.385679641
test,flute,1,3,0,flute_58,0.463695806
test,guitar,0,1,0,guitar_444,0.630446199
test,guitar,0,1,0,guitar_503,0.232772045
test,guitar,0,1,0,guitar_509,0.080603939
test,piano,2,4,0,piano_531,0.405200152
test,piano,2,4,0,piano_178,0.928023027
test,violin,3,7,0,violin_401,0.371979027
test,guitar,0,1,0,guitar_577,0.91384199
test,piano,2,4,0,piano_709,0.088784579
test,violin,3,7,0,violin_59,0.118275478
test,piano,2,4,0,piano_152,0.629047474
test,piano,2,4,0,piano_330,0.290285457
test,violin,3,7,0,violin_372,0.780753179
test,violin,3,7,0,violin_507,0.443806989
test,violin,3,7,0,violin_384,0.070628585
test,flute,1,3,0,flute_415,0.424022426
test,flute,1,3,0,flute_331,0.638375018
test,violin,3,7,0,violin_121,0.42843387
test,flute,1,3,0,flute_185,0.896307072
test,guitar,0,1,0,guitar_305,0.198865919
test,guitar,0,1,0,guitar_314,0.726226991
test,violin,3,7,0,violin_169,0.303076559
test,piano,2,4,0,piano_95,0.727512333
test,piano,2,4,0,piano_40,0.695176336
test,flute,1,3,0,flute_131,0.343533572
test,violin,3,7,0,violin_2,0.630851359
test,piano,2,4,0,piano_503,0.822254707
test,guitar,0,1,0,guitar_506,0.456354167
test,flute,1,3,0,flute_397,0.654210377
test,violin,3,7,0,violin_65,0.193567548
test,flute,1,3,0,flute_186,0.803024158
test,flute,1,3,0,flute_312,0.397774833
test,violin,3,7,0,violin_226,0.172565206
test,piano,2,4,0,piano_173,0.238074423
test,violin,3,7,0,violin_308,0.069892605
test,guitar,0,1,0,guitar_58,0.280952165
test,violin,3,7,0,violin_431,0.82941448
test,piano,2,4,0,piano_222,0.938919626
test,guitar,0,1,0,guitar_473,0.238100402
test,piano,2,4,0,piano_369,0.209233696
test,violin,3,7,0,violin_39,0.718059706
test,violin,3,7,0,violin_125,0.388098336
test,piano,2,4,0,piano_206,0.766104164
test,violin,3,7,0,violin_312,0.022536207
test,piano,2,4,0,piano_18,0.749721848
test,violin,3,7,0,violin_450,0.16654836
test,flute,1,3,0,flute_221,0.078680517
test,flute,1,3,0,flute_48,0.10568829
test,guitar,0,1,0,guitar_91,0.094331391
test,guitar,0,1,0,guitar_384,0.090889271
test,violin,3,7,0,violin_435,0.220859469
test,violin,3,7,0,violin_127,0.927184341
test,guitar,0,1,0,guitar_643,0.001409947
test,piano,2,4,0,piano_490,0.722525255
test,violin,3,7,0,violin_79,0.294830588
test,flute,1,3,0,flute_148,0.495461747
test,violin,3,7,0,violin_185,0.078378309
test,piano,2,4,0,piano_506,0.442529386
test,piano,2,4,0,piano_484,0.551242987
test,guitar,0,1,0,guitar_100,0.430303217
test,flute,1,3,0,flute_448,0.454833007
test,violin,3,7,0,violin_329,0.611928919
test,guitar,0,1,0,guitar_19,0.53246108
test,violin,3,7,0,violin_192,0.668917438
test,piano,2,4,0,piano_401,0.329950333
test,piano,2,4,0,piano_231,0.415301907
test,piano,2,4,0,piano_465,0.640424904
test,flute,1,3,0,flute_35,0.354760992
test,guitar,0,1,0,guitar_597,0.488821889
test,violin,3,7,0,violin_111,0.135580257
test,guitar,0,1,0,guitar_102,0.984337929
test,piano,2,4,0,piano_198,0.277192496
test,flute,1,3,0,flute_162,0.549518994
test,guitar,0,1,0,guitar_446,0.532915452
test,piano,2,4,0,piano_654,0.142372081
test,piano,2,4,0,piano_441,0.882129947
test,guitar,0,1,0,guitar_618,0.498498227
test,violin,3,7,0,violin_483,0.922207301
test,violin,3,7,0,violin_388,0.729759805
test,guitar,0,1,0,guitar_129,0.640777839
test,flute,1,3,0,flute_110,0.079194352
test,piano,2,4,0,piano_708,0.354220545
test,guitar,0,1,0,guitar_342,0.693669107
test,flute,1,3,0,flute_227,0.120054018
test,guitar,0,1,0,guitar_362,0.200823039
test,guitar,0,1,0,guitar_114,0.031980628
test,guitar,0,1,0,guitar_755,0.765579833
test,guitar,0,1,0,guitar_145,0.710634349
test,piano,2,4,0,piano_386,0.373830002
test,violin,3,7,0,violin_366,0.2218213
test,guitar,0,1,0,guitar_662,0.609907779
test,piano,2,4,0,piano_238,0.333618582
test,violin,3,7,0,violin_107,0.073709702
test,violin,3,7,0,violin_517,0.718107171
test,piano,2,4,0,piano_156,0.453417229
test,violin,3,7,0,violin_561,0.287990117
test,piano,2,4,0,piano_544,0.612999841
test,guitar,0,1,0,guitar_12,0.169461343
test,piano,2,4,0,piano_160,0.543697727
test,violin,3,7,0,violin_412,0.792264639
test,guitar,0,1,0,guitar_714,0.710852151
test,guitar,0,1,0,guitar_525,0.265266649
test,flute,1,3,0,flute_109,0.111973018
test,flute,1,3,0,flute_171,0.946916756
test,violin,3,7,0,violin_303,0.674898228
test,flute,1,3,0,flute_407,0.254332038
test,piano,2,4,0,piano_240,0.788254292
test,violin,3,7,0,violin_259,0.618395302
test,flute,1,3,0,flute_74,0.603805162
test,flute,1,3,0,flute_335,0.385501883
test,guitar,0,1,0,guitar_208,0.959522819
