subset,instrument,instrument_id,fold,track_id,uuid4,randNumb
validacion,guitar,0,1,199,ece4d36d-aa6c-58b0-fa9e-c5e2b14a4b81,0.588768463
validacion,piano,2,4,122,c7398192-d28b-5cb7-fb28-dd834b6864aa,0.107046742
validacion,violin,3,7,436,d43217bf-f545-50cb-f680-5c2f0733889f,0.554017656
validacion,violin,3,7,268,cc4af228-f111-5541-f5ed-b2a30c4becf8,0.832489113
validacion,flute,1,3,734,fc1b38cf-536d-538e-f613-a91e3a40b246,0.075165279
validacion,piano,2,4,500,db07a134-dd27-539e-f1dd-d1c1f58a43f0,0.327059734
validacion,piano,2,4,502,db1e60a6-5e3e-5a7b-fdff-a6eb433ca32e,0.442364917
validacion,piano,2,4,988,f5979759-94b3-55e0-ff1a-59e5d3744ed4,0.452206735
validacion,guitar,0,1,294,ff31bf98-1191-5155-f9a2-d19a7fe3e424,0.560615853
validacion,piano,2,4,574,deab9a96-3635-57be-f2d2-9c3c45f24103,0.950293759
validacion,violin,3,7,669,df4a1cbd-6f42-5899-fa18-9378a1cbe64c,0.346181438
validacion,piano,2,4,526,dc881154-d54c-5d00-fb17-b3c2ce93f0a7,0.523692042
validacion,violin,3,7,193,c89bd642-1f20-531d-f199-6066c9242846,0.386645967
validacion,violin,3,7,375,d12c4b33-a3d5-5271-fd70-a6b96b0ee42a,0.035214326
validacion,violin,3,7,57,c1c1b3a5-1fd8-5d3e-f4e8-939b3332ba3a,0.864169699
validacion,violin,3,7,508,d7492e47-912b-5273-ffa5-3cdbdb509465,0.950170502
validacion,violin,3,7,591,dbc7f714-994e-5eb5-fb9a-53e530fede5c,0.084229845
validacion,piano,2,4,846,ed5dd38e-c966-5f73-fc20-f2ce6eff40a4,0.36172764
validacion,guitar,0,1,263,f93cc4c9-cce4-5c3b-f640-381885c6ea79,0.540387964
validacion,violin,3,7,410,d331c7bd-9064-5c13-fc4e-99e98a535446,0.16848327
validacion,violin,3,7,1196,faa17610-1d8e-5488-f123-eeb0b9340349,0.885704155
validacion,violin,3,7,1080,f49afa93-9195-5792-f01b-247354fe1282,0.836160762
validacion,piano,2,4,966,f42f30a3-5cbe-50db-f53d-bc7f25ec7bb4,0.24465858
validacion,piano,2,4,872,eed7aade-7efb-5c81-f759-cb1506666381,0.167934369
validacion,piano,2,4,594,dfdd0099-35d7-5b89-f2b5-e4f61b409b6b,0.371604866
validacion,violin,3,7,580,db1596d5-1733-5783-f9b6-6fc9a0a89c26,0.322212394
validacion,flute,1,3,201,d1f5f168-2663-5b67-ffde-0ac71ef20203,0.724221944
validacion,guitar,0,1,20,cda98c1f-77bd-566a-fb53-03d30e89431a,0.647657376
validacion,violin,3,7,338,cfe257e6-6473-5c6a-f360-087cc9643d5f,0.322614992
validacion,flute,1,3,249,d57eeef0-22e8-5894-f409-9f6d0191afd6,0.740296392
validacion,piano,2,4,192,cb3e6e3e-b98d-549d-faf8-a3fff218de1c,0.717859345
validacion,flute,1,3,30,c48be743-7e8c-53e0-ffd0-1fd32705d4c2,0.069073677
validacion,violin,3,7,211,c94f1ae0-5ffa-52c9-fcd9-03dcf0d33435,0.979254753
validacion,violin,3,7,1030,f18e4be2-4ca5-5d38-fbbe-d890f90f1e15,0.132551902
validacion,flute,1,3,243,d4fcc007-f965-53bb-f762-14aeb3fbbd43,0.318171023
validacion,violin,3,7,956,edbfb076-c093-5035-f9b9-bbc953513187,0.057456369
validacion,piano,2,4,930,f21dc19e-8876-5301-fcaa-957208efc8ab,0.904656758
validacion,piano,2,4,102,c659ef5d-f441-56c4-ff31-0831f66e941a,0.813034439
validacion,piano,2,4,457,d92ed420-be2a-57de-f55c-1b5abbc8c36b,0.403972013
validacion,piano,2,4,928,f20e55d7-88e2-5718-fae2-c3568344d64d,0.213094183
validacion,piano,2,4,172,ca1c701c-73d7-5908-f101-346ad937547f,0.840056636
validacion,guitar,0,1,225,f1f70f2c-5d71-5bfe-f197-e2d1fe04cb92,0.123314641
validacion,piano,2,4,309,d149e6d9-8488-54ad-fb96-923bdddffb38,0.682927944
validacion,violin,3,7,516,d7ccacb7-1285-5ace-ff10-b231c4f87e3b,0.124263809
validacion,violin,3,7,1092,f50a0418-35e0-5ce7-f31e-34839c06373a,0.122870699
validacion,piano,2,4,408,d69b4483-dec5-5c1a-fa6a-d0078ae3a1fa,0.214938906
validacion,violin,3,7,1190,fa884ed4-c751-5b80-f25a-329764db724e,0.312036203
validacion,piano,2,4,451,d8e5e7b6-e399-58a2-fa25-689367acff34,0.96611082
validacion,violin,3,7,1060,f38909c7-dc71-5a4a-f232-db2b530da4aa,0.338357066
validacion,violin,3,7,916,ec369a3a-3427-5433-f4af-5e476c604ae7,0.24528126
validacion,flute,1,3,22,c35d07d3-919f-5aec-f8a8-79cff20f1cb1,0.653861515
validacion,flute,1,3,248,d55bb52c-4134-5c7d-f1bb-4d61b071ce4b,0.357974502
validacion,piano,2,4,944,f2c339d3-3761-5509-fa7a-f66daddb805d,0.821455029
validacion,piano,2,4,354,d394eaa0-0877-5de8-fc32-fac3418bf8e9,0.515552114
validacion,piano,2,4,1056,f8a3f17a-e6fb-5e7d-f4fd-79fa9177521e,0.037511892
validacion,violin,3,7,77,c2fb5e7f-39f6-546a-f81c-cf3536ba9278,0.832860482
validacion,piano,2,4,356,d3999aec-fbb8-580b-fef7-f1211ddc55c3,0.115465918
validacion,piano,2,4,272,cf43b35d-eed2-500f-ff61-2a2be6af12e1,0.368928269
validacion,flute,1,3,780,feb102f1-8d50-5362-f768-52026cf4454f,0.852463586
validacion,flute,1,3,426,e3c89b91-6c4e-5361-fca7-c445f6b567a6,0.505093997
validacion,piano,2,4,397,d57cee92-b5f6-59fc-f583-a2318b8e45a1,0.469897492
validacion,violin,3,7,462,d570adf9-13aa-5816-f15d-cbe0e3328a53,0.184398618
validacion,flute,1,3,784,fedbbf02-9fae-5f22-f012-f0b581c97a94,0.204415654
validacion,piano,2,4,49,c33dd277-bb4d-56d1-fc0d-dcf95918908f,0.430650269
validacion,violin,3,7,290,cd3a2b25-61d1-5317-f165-b715d97142be,0.211721726
validacion,piano,2,4,482,da4519be-68e1-51b3-f76e-f81bfeeb5852,0.132578853
validacion,violin,3,7,440,d45bb98b-f51d-5dee-f832-4d7e26198192,0.767893035
validacion,violin,3,7,350,d03b3d49-a970-54ee-f394-6a3291faa4cc,0.730175857
validacion,flute,1,3,608,f2423bfb-af4c-55da-fadf-bb4da51c169f,0.964095032
validacion,violin,3,7,1042,f291cef3-73ab-5872-f9bc-8dd84378daad,0.639967401
validacion,piano,2,4,760,e8b9883a-4db3-58d3-f110-36b5cea7f2a0,0.432787038
validacion,piano,2,4,358,d3acf631-834c-5b08-f59c-6f48fc789a5f,0.138447
validacion,piano,2,4,690,e4f76aaf-8e22-58bf-fa68-499969114333,0.115834425
validacion,guitar,0,1,172,e9ca1a5f-8ee0-58cb-f644-ce3e69a5d008,0.76277676
validacion,piano,2,4,42,c2964b7d-cb95-58b0-fd5f-a04b09510b5f,0.736732874
validacion,flute,1,3,185,d09f5616-09bb-542f-f056-a1915c538d5c,0.510295718
validacion,piano,2,4,1090,f9f7817a-03e2-52c8-f0cb-05d77a4c6bd4,0.12932303
validacion,guitar,0,1,209,ee4dfd56-6300-5e74-f500-08f22ba7492b,0.913336373
validacion,piano,2,4,610,e082fc72-cfeb-5c63-fc3f-1429f4f2b191,0.138912613
validacion,piano,2,4,68,c4b74025-ee8b-5c34-ff87-89ea68e7c2a3,0.778525172
validacion,violin,3,7,12,bee7aec4-a9f1-5cd6-f78e-d74c7f71ffba,0.703364587
validacion,guitar,0,1,159,e6b76e16-1586-5437-f8da-d5c9961738a9,0.140174969
validacion,violin,3,7,1198,fad23378-9941-5b80-fff5-308d5e42de40,0.935356546
validacion,violin,3,7,76,c2f95fae-d215-5263-f6be-4faacb560d7a,0.252717368
validacion,piano,2,4,60,c442ce77-853b-5db3-fc57-523133cdd7f3,0.109902092
validacion,violin,3,7,550,d9ac4889-5b20-53c8-fd82-ba69c7de4374,0.674101236
validacion,flute,1,3,88,caf76526-0e5c-55c7-f496-1ae48dcd3dd4,0.662694407
validacion,guitar,0,1,275,fb723b00-cd6b-54e1-f20a-6aa0811f6db1,0.055212904
validacion,violin,3,7,397,d254a8ca-ee48-5ed2-ff21-b213bb161066,0.822781465
validacion,piano,2,4,676,e41b0a7f-d46a-5392-fe2c-f8dc8e688d09,0.53912293
validacion,piano,2,4,1213,ff160b6c-edba-54d8-fcbb-9ef7eec8ed78,0.450839576
validacion,violin,3,7,782,e5a1ac4a-d563-5b90-ff7b-8b1a45828988,0.543259558
validacion,piano,2,4,40,c26c94be-6fcd-5d1e-f7fc-542d98fbf82a,0.811416597
validacion,violin,3,7,384,d1b145ec-226b-5e24-f0b3-4c0863ceeef9,0.55273327
validacion,piano,2,4,724,e6c19211-4869-59ac-f0fa-74b3841f91e5,0.869714535
validacion,guitar,0,1,298,ffd0c8f9-3f4e-58a0-f8a8-5925eb9d0b24,0.348286528
validacion,flute,1,3,382,e0ae53f5-ce45-5d91-fd5c-ddb090372a75,0.98218652
validacion,piano,2,4,1230,ffffba9d-5224-580b-f758-59e71008148f,0.730527232
validacion,piano,2,4,659,e2c5403f-3c50-55e0-f868-cafc3d5673d0,0.606368332
validacion,piano,2,4,234,cd978f43-85cc-51db-fdfe-29faa7e506b4,0.267005948
validacion,violin,3,7,1223,fc2aae22-14a3-5e70-fd58-8035b5244b6c,0.77687385
validacion,violin,3,7,793,e63d49d9-1bf4-5733-feb6-912f331d5f73,0.490321165
validacion,violin,3,7,833,e85f973d-8473-5d4f-f56a-0602f99bf6da,0.239281203
validacion,violin,3,7,718,e1a8a858-11ac-54fb-fc6e-c12cf3858f05,0.868267323
validacion,flute,1,3,217,d31b96d4-9093-53ed-f149-6173bd68eefb,0.565588237
validacion,piano,2,4,427,d79e9633-1a62-5f89-f5b9-020a9ea9ac56,0.884462303
validacion,guitar,0,1,71,d7e6e392-5a55-5ab0-f21c-0dbcf4a8a86e,0.209738341
validacion,guitar,0,1,144,e4fe2e3a-c424-5cc2-f9c9-cc0c7535366a,0.773188702
validacion,piano,2,4,125,c7706fd8-abca-5ed6-fb4d-ec1e1ab0e6ea,0.931852998
validacion,violin,3,7,658,dec36b11-7695-5109-fe3d-bbbad24a4382,0.245018344
validacion,piano,2,4,329,d25277c6-d5f1-5151-f85f-5a95d0e9cd74,0.088905611
validacion,piano,2,4,521,dc40574e-dfe9-501f-f6a8-c1f4c96a684c,0.108896118
validacion,piano,2,4,490,da93d652-cdff-5aed-fcd4-d67d8d5599d5,0.919340055
validacion,violin,3,7,842,e8ad8c07-cacb-5e3f-f1ad-e52d6665e840,0.575149714
validacion,piano,2,4,828,ec64e44a-0370-551a-f623-d687ceaf571a,0.94548226
validacion,violin,3,7,282,ccdf5110-b50c-552c-f69b-8111957d4674,0.446793563
validacion,violin,3,7,1115,f6c39439-b39e-5cbb-fe78-2e727a31318c,0.441662522
validacion,piano,2,4,818,ebdeac41-10dc-5fdb-f77f-f1409e909170,0.673226236
validacion,piano,2,4,448,d8bf7108-707b-584c-f8d0-375ef4ae9b97,0.06744775
validacion,violin,3,7,61,c1fc10fe-b6e0-5070-fa9f-1a59b7316c04,0.354581546
validacion,guitar,0,1,300,fffb22c0-d975-5769-f831-b06acab8c664,0.612559068
validacion,violin,3,7,814,e76342d9-5751-5972-fd34-a8bab1ee617a,0.354756954
validacion,piano,2,4,1074,f941feba-5ae3-5481-fd9c-f7842cd86e42,0.564599419
validacion,piano,2,4,66,c4886791-de3c-5bab-f32d-ceb92d4452df,0.85881182
validacion,violin,3,7,72,c2cea869-b37b-5119-fd52-03e223a96b8b,0.824215177
validacion,violin,3,7,71,c2b8a0ae-8aac-50a8-fca7-91d31cf61416,0.521929899
validacion,violin,3,7,485,d6290d1d-bfe6-5011-f6a1-2f54a76c1787,0.559814078
validacion,flute,1,3,254,d5f3789c-2ace-501e-ff59-f1e51ff7bc34,0.427882641
validacion,guitar,0,1,231,f31f46b9-8aea-5045-f9e0-ba338854710a,0.111148671
validacion,flute,1,3,52,c74d5dc5-3114-5f16-ff4c-0a302d362dc3,0.00850691
validacion,flute,1,3,591,f120d14d-c18a-5712-fc27-f3eeeee116d6,0.246507058
validacion,flute,1,3,442,e4def4c6-0941-52a0-fc70-e976ffc18b3f,0.556499702
validacion,piano,2,4,189,cb0c7090-cb55-57e4-ff48-ff0fd7a5b27c,0.510790734
validacion,violin,3,7,1023,f1309e41-f8c1-5fb5-f718-7692d4445190,0.572482989
validacion,flute,1,3,782,febe913c-f5fb-5f47-ff1c-902274843691,0.676026613
validacion,violin,3,7,703,e131b2fd-cb45-5fee-fa97-23e3482a78fa,0.574920067
validacion,violin,3,7,670,df5e1ec2-e69e-5c12-f39e-86cf8a1b988a,0.229845995
validacion,violin,3,7,1018,f0f5259b-0053-5228-f1dd-bf8bbc8bb18a,0.289247531
validacion,violin,3,7,1174,f9ad9af7-597a-5342-f3f9-f23b46bcfc85,0.422827292
validacion,flute,1,3,678,f77c26ac-7db2-5e1d-f93c-13a4bf3b67c9,0.744417875
validacion,piano,2,4,613,e096967a-6522-5dc8-f974-0a01b2a53340,0.45623456
validacion,violin,3,7,1261,fe0cf31b-61a5-5d68-fe6a-36d3837621a3,0.136407896
validacion,violin,3,7,628,dd78433c-558c-5de7-fdf1-ba32b6d41145,0.385579132
validacion,guitar,0,1,210,ee7ec890-3e3b-5881-f6ac-fdb5e17ab247,0.231639815
validacion,piano,2,4,355,d397146a-de1a-5fc7-fafd-d94378dfc902,0.092169713
validacion,piano,2,4,56,c391c574-64cb-5b1a-f49f-e8a34b56e602,0.505144105
validacion,violin,3,7,1110,f62c6e32-687d-5c41-f5ee-ef592bbc970a,0.080987728
validacion,flute,1,3,481,e7202978-ee02-5457-f4ce-0cefc17f1109,0.63350433
validacion,flute,1,3,482,e7292eeb-7515-5e1c-fec4-82f8ae52224d,0.223460599
validacion,violin,3,7,692,e0a866c3-4e53-5549-fe22-7ee2947e3e98,0.188184126
validacion,flute,1,3,786,fef39dfa-7eed-5591-f509-d88cb81552c9,0.147693134
validacion,flute,1,3,749,fcd1d971-b7c5-5b98-f0fe-f6a81705e47f,0.509883464
validacion,piano,2,4,538,dce4966d-cc3f-56ab-f415-b0ba06ae2611,0.164303794
validacion,flute,1,3,57,c794f97f-fb7a-5134-f1a7-0be3dbcda68e,0.322361852
validacion,piano,2,4,37,c258cd38-3d14-597f-fdeb-61d71c2b6dc4,0.703972035
validacion,violin,3,7,1165,f9481f6c-2e5f-5208-faab-c8e3c24c8a9d,0.122184215
validacion,flute,1,3,792,ff465d79-055a-5578-f1e4-326732c4367f,0.034927308
validacion,piano,2,4,205,cc0b6154-1a6c-59cb-ff66-79f663062762,0.5384123
validacion,guitar,0,1,173,e9cfe2be-a305-5e4c-f8ad-8d50bcf8e2e2,0.180237103
validacion,piano,2,4,485,da6465d5-ee7f-53ab-f3ac-575cbb1fb8a5,0.627685389
validacion,guitar,0,1,107,decbfb4f-5c49-5bc3-f5b6-418d77f9e21d,0.57758755
validacion,flute,1,3,112,cc67cfb0-3ab2-5e3d-f015-b83c137eb41d,0.07442125
validacion,piano,2,4,907,f0db0bde-d4c8-56dd-ffb6-e010e8fd1df1,0.297367583
validacion,piano,2,4,755,e87e36a0-ad7c-5c17-f28e-d0d8259c6c50,0.057937927
validacion,violin,3,7,515,d7c74007-f570-5088-fbe0-393d069be05d,0.278931078
validacion,violin,3,7,769,e49fa1bc-b295-596c-fe93-f18d91f179ef,0.213367184
validacion,flute,1,3,387,e0dfff5e-9b7f-5cfb-f375-8d65df181c46,0.065224118
validacion,violin,3,7,1147,f8765d3d-ac44-5f16-f604-02ed41b60ec8,0.394997056
validacion,violin,3,7,1183,fa16b55f-40eb-5ea6-f7c1-17ac6363edee,0.25327701
validacion,violin,3,7,684,e0190b92-0679-5a74-f13e-fa0263e381dc,0.859027204
validacion,piano,2,4,958,f3df6098-b7c7-5e00-f636-28f8403f2f35,0.780995294
validacion,guitar,0,1,52,d52a20b6-f886-5266-feaf-c74c756a4c20,0.452609669
validacion,flute,1,3,89,cb2feb78-83c4-57c7-f69a-36a65c68252d,0.784201068
validacion,violin,3,7,495,d69af3a2-8d7d-5b0f-f240-31f63ad64438,0.459106167
validacion,piano,2,4,1131,fb7c6e1e-1644-533e-f35f-7d6aab1ae9c0,0.839349089
validacion,violin,3,7,1057,f35868ac-d48f-5093-f24c-69484dd73ace,0.246429249
validacion,violin,3,7,253,cb3907bc-c311-5413-f2b3-406b6df0b6d0,0.432057238
validacion,violin,3,7,172,c7831263-a244-54df-fbe5-39a66cd581d7,0.497201023
validacion,violin,3,7,930,ecd76cf4-ba79-5480-f729-958c0a237014,0.176886899
validacion,violin,3,7,986,eef49dc6-dc3f-51e9-ff7b-de965687c43f,0.693078992
validacion,piano,2,4,231,cd7aad3c-8a5d-5f7a-ff1c-a5e9e425bc7d,0.732407373
validacion,violin,3,7,442,d46ff9b4-3bb0-5f3f-f8fe-94935d509366,0.058816518
validacion,guitar,0,1,1,cb02836e-92aa-5e16-f71b-c8cbd6172f90,0.057263627
validacion,flute,1,3,174,cfdcb416-3319-5c9b-f333-66d5a9438b18,0.165838574
validacion,piano,2,4,459,d9543db3-6698-5c04-f3d4-37a1e2ed3d59,0.215045018
validacion,violin,3,7,1292,ff99b395-9c41-50c7-fc09-bb40820dceaa,0.138725678
validacion,flute,1,3,525,eb58f254-659a-58f0-f112-0efe8e6e2318,0.617410413
validacion,piano,2,4,246,ce2294d9-852a-5b14-fd7c-dc8cd5926ff1,0.967509376
validacion,piano,2,4,1157,fc994d42-e105-5d0e-f94d-ec8e624bfcac,0.821456346
validacion,piano,2,4,1096,fa258cb2-b5eb-5aa1-f443-34a8a66745d3,0.689607487
validacion,violin,3,7,551,d9acc6e7-3324-53da-fdb0-da1394405467,0.864697893
validacion,flute,1,3,706,f9a35eb2-383b-58be-f18a-895748b96cbb,0.106052874
validacion,violin,3,7,190,c877033c-e5c5-59d2-fdbc-39bbbc0fdc1e,0.938852113
validacion,guitar,0,1,182,ea9b55f8-d250-5c02-f3c5-d4b0180360e2,0.144655443
validacion,piano,2,4,511,db711291-a89a-5ba9-fbae-608df4a2fff3,0.787903655
validacion,piano,2,4,51,c3638957-b330-562d-f817-ce7f3ebbdb02,0.696361188
validacion,violin,3,7,333,cfb7d694-01c0-5ed7-f488-34768ee58dbc,0.436530521
validacion,violin,3,7,460,d56a9e16-f6e3-5086-f9f8-64fe267a5d51,0.795804937
validacion,violin,3,7,727,e240261a-c144-5396-f00c-98eab2196257,0.593237682
validacion,flute,1,3,369,e0295e6a-e8ed-541e-f0ed-a09aabeb3d26,0.469380663
validacion,piano,2,4,1021,f71adc2c-c6df-5392-fde9-30391943ae08,0.995208725
validacion,piano,2,4,218,cccb7ef8-2091-581b-f89a-017e704174f3,0.679237182
validacion,violin,3,7,817,e7ac98e4-c266-5ea2-f29a-555a83951ac6,0.802903861
validacion,violin,3,7,2,be347030-5074-5434-fd66-27e34e4f2c9c,0.069281284
validacion,violin,3,7,1031,f1af4622-bb93-5df5-f6bb-897d54198202,0.030121668
validacion,violin,3,7,863,e9b1f6de-4871-5e32-f546-6a21e60d54c9,0.259332415
validacion,piano,2,4,535,dcd37991-264b-56ab-f0a5-9a0a50f2cf5d,0.798539014
validacion,piano,2,4,294,d08de09b-b71c-50b6-fe23-83ccdd858f88,0.090591147
validacion,violin,3,7,1123,f714c534-a304-5900-fd23-032f34d3c71b,0.674552865
validacion,violin,3,7,735,e278d84c-b839-52a5-ff0c-e7bfdb0006d2,0.647628219
validacion,violin,3,7,892,ea81d5ed-62eb-5891-f56c-a64b85c9213d,0.411035652
validacion,guitar,0,1,145,e5070074-1819-5342-f42a-5baf1cebb904,0.809471127
validacion,piano,2,4,251,ce6508f9-c578-5e91-f2d1-060a290eaa22,0.052371635
validacion,piano,2,4,1203,feb37bf7-8622-50f8-f014-67f6038e3202,0.114699115
validacion,violin,3,7,957,edc01970-f060-5881-f0f3-77012f5b449a,0.530523929
validacion,piano,2,4,209,cc339636-771d-5260-fec2-12b0588c493a,0.161781962
validacion,flute,1,3,599,f1b8c8a4-afd7-568c-fd66-b3d719f6cfa9,0.723887602
validacion,violin,3,7,377,d13e9c18-95f4-5c18-f4ef-76cc91c87339,0.567434691
validacion,violin,3,7,118,c4e0c789-587c-53dd-fb0c-1f27ac83ffe7,0.490344264
validacion,piano,2,4,684,e47aad1e-ab5b-53c8-f252-2a18db20c8f5,0.646193521
